id,apartment_id,service_id,period,value
94,4,1,2025-07,1814
95,4,1,2025-08,1814
96,4,1,2025-09,2218
97,4,3,2025-01,19
98,4,3,2025-02,19
99,4,3,2025-03,21
100,4,3,2025-04,21
101,4,3,2025-05,21
102,4,3,2025-06,21
103,4,3,2025-07,21
104,4,3,2025-08,21
105,4,3,2025-09,24
106,4,4,2025-01,18
107,4,4,2025-02,18
108,4,4,2025-03,21
109,4,4,2025-04,21
110,4,4,2025-05,21
111,4,4,2025-06,21
112,4,4,2025-07,21
113,4,4,2025-08,21
114,4,4,2025-09,26
115,5,1,2025-01,1865
116,5,1,2025-02,2011
117,5,1,2025-03,2011
118,5,1,2025-04,2179
119,5,1,2025-05,2301
120,5,1,2025-06,2539
121,5,1,2025-07,2878
122,5,1,2025-08,3199
123,5,1,2025-09,3479
124,5,3,2025-01,49
125,5,3,2025-02,53
126,5,3,2025-03,53
127,5,3,2025-04,60
128,5,3,2025-05,65
129,5,3,2025-06,73
130,5,3,2025-07,77
131,5,3,2025-08,81
132,5,3,2025-09,83
133,5,4,2025-01,39
134,5,4,2025-02,45
135,5,4,2025-03,45
136,5,4,2025-04,59
137,5,4,2025-05,70
138,5,4,2025-06,87
139,5,4,2025-07,96
140,5,4,2025-08,106
141,5,4,2025-09,109
142,6,1,2025-01,1675
143,6,1,2025-02,1832
144,6,1,2025-03,2037
145,6,1,2025-04,2037
146,6,1,2025-05,2037
147,6,1,2025-06,2037
148,6,1,2025-07,2037
149,6,1,2025-08,2790
150,6,1,2025-09,2947
151,6,3,2025-01,31
152,6,3,2025-02,35
153,6,3,2025-03,40
154,6,3,2025-04,40
155,6,3,2025-05,40
156,6,3,2025-06,40
157,6,3,2025-07,42
158,6,3,2025-08,45
159,6,3,2025-09,47
160,6,4,2025-01,15
161,6,4,2025-02,23
162,6,4,2025-03,27
163,6,4,2025-04,27
164,6,4,2025-05,27
165,6,4,2025-06,27
166,6,4,2025-07,28
167,6,4,2025-08,30
168,6,4,2025-09,31
169,8,1,2025-05,672
170,8,1,2025-06,922
171,8,1,2025-07,1562
172,8,1,2025-08,2152
173,8,1,2025-09,2561
174,8,3,2025-05,18
175,8,3,2025-06,28
176,8,3,2025-07,38
177,8,3,2025-08,49
178,8,3,2025-09,62
179,8,4,2025-05,16
180,8,4,2025-06,21
181,8,4,2025-07,25
182,8,4,2025-08,30
183,8,4,2025-09,35
184,1,1,2025-09,0
185,2,1,2025-10,3070
186,2,3,2025-10,65
187,2,4,2025-10,68
188,3,1,2025-10,4699
189,3,3,2025-10,96
190,3,4,2025-10,63
191,3,1,2025-11,4808
192,3,3,2025-11,99
193,3,4,2025-11,65
194,2,1,2025-11,3139
195,2,3,2025-11,70
196,2,4,2025-11,70
197,4,1,2025-10,2373
198,4,3,2025-10,28
199,4,4,2025-10,31
200,4,1,2025-11,2373
201,4,3,2025-11,28
202,4,4,2025-11,31
203,5,1,2025-10,3510
204,5,3,2025-10,83
205,5,4,2025-10,109
206,6,1,2025-10,3110
207,6,3,2025-10,54
208,6,4,2025-10,41
209,6,1,2025-11,3241
210,6,3,2025-11,58.5
211,6,4,2025-11,48
212,7,1,2025-10,571
213,8,1,2025-10,2561
214,8,3,2025-10,62
215,8,4,2025-10,35
216,8,1,2025-11,2773
217,8,3,2025-11,70
218,8,4,2025-11,40
219,10,1,2025-09,3141
220,10,1,2025-10,3308
221,10,3,2025-09,37
222,10,3,2025-10,40
223,10,4,2025-09,34
224,10,4,2025-10,36
225,10,1,2025-11,3434
226,10,3,2025-11,41.5
227,10,4,2025-11,38
228,9,1,2025-09,1840
229,9,1,2025-10,1989
230,9,3,2025-09,43
231,9,3,2025-10,47
232,9,4,2025-09,43
233,9,4,2025-10,52
234,9,1,2025-11,2100
235,9,3,2025-11,48
236,9,4,2025-11,55.5
237,10,1,2025-12,3434
238,10,3,2025-12,41.5
239,10,4,2025-12,38
240,7,1,2025-11,708
241,7,3,2025-10,8
242,7,3,2025-11,9
243,7,4,2025-10,5.4
244,7,4,2025-11,8
245,6,1,2025-12,3405
246,6,3,2025-12,65.5
247,6,4,2025-12,59
248,2,1,2025-12,3217
249,2,3,2025-12,70
250,2,4,2025-12,73
251,5,1,2025-11,3560
252,5,1,2025-12,3634
253,5,3,2025-11,85
254,5,3,2025-12,86
255,5,4,2025-11,111
256,5,4,2025-12,112
257,4,1,2025-12,2511
258,4,3,2025-12,31
259,4,4,2025-12,36
260,9,1,2025-12,2251
261,9,3,2025-12,52
262,9,4,2025-12,63
263,7,1,2025-12,865
264,7,3,2025-12,15
265,7,4,2025-12,14
266,3,1,2025-12,4965
267,3,3,2025-12,103
268,3,4,2025-12,69
269,5,1,2026-01,3724
270,5,3,2026-01,87
271,5,4,2026-01,114
272,2,1,2026-01,3258
273,2,3,2026-01,70
274,2,4,2026-01,68
275,3,1,2026-01,5086
276,3,3,2026-01,106
277,3,4,2026-01,71
278,4,1,2026-01,2648
279,4,3,2026-01,35
280,4,4,2026-01,42
281,7,1,2026-01,1103
282,7,3,2026-01,23
283,7,4,2026-01,23
284,9,1,2026-01,2403
285,9,3,2026-01,55
286,9,4,2026-01,70
287,6,1,2026-01,3577
288,6,3,2026-01,70.5
289,6,4,2026-01,67
290,6,1,2026-02,3724
291,6,3,2026-02,76
292,6,4,2026-02,75
293,3,1,2026-02,5222
294,3,3,2026-02,109
295,3,4,2026-02,74
296,2,1,2026-02,3338
297,2,3,2026-02,76
298,2,4,2026-02,71
299,4,1,2026-02,2648
300,4,3,2026-02,35
301,4,4,2026-02,42
302,7,1,2026-02,1348
303,7,3,2026-02,32
304,7,4,2026-02,31
305,9,1,2026-02,2561
306,9,3,2026-02,57
307,9,4,2026-02,75.5
308,5,1,2026-02,3789
309,5,3,2026-02,88
310,5,4,2026-02,116
311,6,1,2026-03,3866
312,6,3,2026-03,81
313,6,4,2026-03,84
314,2,1,2026-03,3421
315,2,3,2026-03,79
316,2,4,2026-03,73
317,7,1,2026-03,1597
318,7,3,2026-03,38
319,7,4,2026-03,39
320,9,1,2026-03,2791
321,9,3,2026-03,61
322,9,4,2026-03,83
